trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.8337271213531494,-0.9998581409454346,0.9344771241830067,1.6197473906047418e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8336101770401001,-0.9998602271080017,0.9344771241830067,1.406154328107413e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8379801511764526,-0.9998670816421509,0.9345315904139433,1.2518926718593427e-06,150,1024,1,detach,dot,0.3,0.1,20,center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8379688262939453,-0.9998670816421509,0.9346405228758169,1.08576473436142e-06,150,1024,1,detach,dot,0.3,0.1,20,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8330618143081665,-0.9998692870140076,0.9356753812636166,2.6046487343424236e-06,150,1024,1,detach,dot,0.3,0.1,20,center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8330627679824829,-0.9998695254325867,0.9357298474945533,2.5334510468433137e-06,150,1024,1,detach,dot,0.3,0.1,20,center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8366352319717407,-0.9999055862426758,0.934313725490196,3.0615005624617096e-06,150,1024,1,detach,dot,0.3,0.1,20,center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8366360664367676,-0.999905526638031,0.9344226579520697,2.658046999966756e-06,150,1024,1,detach,dot,0.3,0.1,20,center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8367311954498291,-0.9998633861541748,0.9344226579520697,2.391055671845095e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8366878628730774,-0.9998633861541748,0.9344226579520697,1.7324770624783315e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8359338641166687,-0.9998631477355957,0.934368191721133,1.5188839999810031e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8360181450843811,-0.9998630285263062,0.9344771241830067,1.6553462343542966e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8355597853660583,-0.9998630285263062,0.9346405228758169,1.9935352499750666e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.835553765296936,-0.9998629093170166,0.9346949891067539,2.213061453097321e-06,150,1024,1,detach,dot,0.3,0.1,20,topo+center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8385918140411377,-0.999865710735321,0.9348039215686276,1.1925612656100844e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8385782837867737,-0.999865710735321,0.9349128540305012,1.8036747499774413e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.838580846786499,-0.999865710735321,0.9349673202614378,1.6197473906047416e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8385904431343079,-0.999865710735321,0.9349128540305012,1.465485734356671e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8385576605796814,-0.999865710735321,0.9349673202614378,1.0145670468623108e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8385679125785828,-0.999865710735321,0.9349128540305012,1.6078811093548902e-06,150,1024,1,detach,dot,0.3,0.2,5,topo,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8389105796813965,-0.9998859167098999,0.935566448801743,1.1450961406106782e-06,150,1024,1,detach,dot,0.3,0.2,5,center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8389228582382202,-0.9998858571052551,0.935566448801743,8.781048124890174e-07,150,1024,1,detach,dot,0.3,0.2,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8349971771240234,-0.9998674988746643,0.935566448801743,1.785875328102664e-06,150,1024,1,detach,dot,0.3,0.2,5,center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8350191712379456,-0.999869704246521,0.935511982570806,1.8570730156017733e-06,150,1024,1,detach,dot,0.3,0.2,5,center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8346173763275146,-0.9998693466186523,0.9349128540305012,2.1418637655982114e-06,150,1024,1,detach,dot,0.3,0.2,5,center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8342819213867188,-0.9998722076416016,0.9347494553376906,1.7324770624783315e-06,150,1024,1,detach,dot,0.3,0.2,5,center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8392701745033264,-0.999864399433136,0.9349673202614378,1.406154328107413e-06,150,1024,1,detach,dot,0.3,0.2,5,topo+center,5,50,0.05,15.0,0.1,0.02,0.2,66666
