epoch=0200, count=237, avg_size=77.4, min=1, max=560
epoch=0300, count=229, avg_size=80.1, min=1, max=814
epoch=0400, count=221, avg_size=83.0, min=1, max=806
epoch=0500, count=243, avg_size=75.4, min=1, max=742
epoch=0600, count=240, avg_size=76.4, min=1, max=704
epoch=0000, count=191, avg_size=96.0, min=1, max=659
epoch=0100, count=242, avg_size=75.8, min=1, max=660
epoch=0200, count=223, avg_size=82.2, min=1, max=793
epoch=0300, count=211, avg_size=86.9, min=1, max=836
epoch=0400, count=207, avg_size=88.6, min=1, max=826
epoch=0500, count=213, avg_size=86.1, min=1, max=731
epoch=0600, count=233, avg_size=78.7, min=1, max=810
epoch=0000, count=193, avg_size=95.0, min=1, max=639
epoch=0100, count=242, avg_size=75.8, min=1, max=716
epoch=0200, count=224, avg_size=81.8, min=1, max=771
epoch=0300, count=217, avg_size=84.5, min=1, max=728
epoch=0400, count=200, avg_size=91.7, min=1, max=805
epoch=0500, count=233, avg_size=78.7, min=1, max=534
epoch=0600, count=243, avg_size=75.4, min=1, max=735
epoch=0000, count=191, avg_size=96.0, min=1, max=592
epoch=0100, count=217, avg_size=84.5, min=1, max=667
epoch=0200, count=224, avg_size=81.8, min=1, max=576
epoch=0300, count=232, avg_size=79.0, min=1, max=573
epoch=0400, count=237, avg_size=77.4, min=1, max=580
epoch=0500, count=223, avg_size=82.2, min=1, max=803
epoch=0600, count=217, avg_size=84.5, min=1, max=759
epoch=0000, count=209, avg_size=87.7, min=1, max=639
epoch=0100, count=236, avg_size=77.7, min=1, max=619
epoch=0200, count=222, avg_size=82.6, min=1, max=824
epoch=0300, count=211, avg_size=86.9, min=1, max=837
epoch=0400, count=232, avg_size=79.0, min=1, max=858
epoch=0500, count=230, avg_size=79.7, min=1, max=590
epoch=0600, count=233, avg_size=78.7, min=1, max=791
epoch=0000, count=199, avg_size=92.1, min=1, max=620
epoch=0100, count=229, avg_size=80.1, min=1, max=557
epoch=0200, count=239, avg_size=76.7, min=1, max=546
epoch=0300, count=214, avg_size=85.7, min=1, max=556
epoch=0400, count=219, avg_size=83.7, min=1, max=925
epoch=0500, count=241, avg_size=76.1, min=1, max=562
epoch=0600, count=242, avg_size=75.8, min=1, max=892
epoch=0000, count=204, avg_size=89.9, min=1, max=593
epoch=0100, count=222, avg_size=82.6, min=1, max=666
epoch=0200, count=220, avg_size=83.3, min=1, max=545
epoch=0300, count=206, avg_size=89.0, min=1, max=569
epoch=0400, count=234, avg_size=78.3, min=1, max=542
epoch=0500, count=218, avg_size=84.1, min=1, max=786
epoch=0600, count=224, avg_size=81.8, min=1, max=630
epoch=0000, count=206, avg_size=89.0, min=1, max=657
epoch=0100, count=237, avg_size=77.4, min=1, max=535
epoch=0200, count=220, avg_size=83.3, min=1, max=782
epoch=0300, count=212, avg_size=86.5, min=1, max=788
epoch=0400, count=236, avg_size=77.7, min=1, max=748
epoch=0500, count=236, avg_size=77.7, min=1, max=701
epoch=0600, count=229, avg_size=80.1, min=1, max=675
epoch=0000, count=185, avg_size=99.1, min=1, max=665
epoch=0100, count=231, avg_size=79.4, min=1, max=812
epoch=0200, count=221, avg_size=83.0, min=1, max=897
epoch=0300, count=232, avg_size=79.0, min=1, max=937
epoch=0400, count=221, avg_size=83.0, min=1, max=945
epoch=0500, count=229, avg_size=80.1, min=1, max=933
epoch=0600, count=216, avg_size=84.9, min=1, max=877
epoch=0000, count=201, avg_size=91.2, min=1, max=630
